Index;Site;Indiv;Altitude;Temp_mean;Temp_onset_bud;Temp_onset_ant;Temp_Peak_bud;Temp_Peak_ant;Dur_ant_days;Dur_ant_month;Bud_max;Ant_max;Immat_max;Mat_max;Sum_Prod_Bud;Sum_Prod_Flower;Sum_Prod_Ant;Sum_Prod_Immat;Sum_Prod_Mat;Number_census;Time_observ;Mean_open_flowers;Total_open_flowers;N_visited_flowers;Number_visits;Total_interactions;Int_pollin
308;Low;322;1059;17.83976221;18.25;16.9;19.10068056;19.10068056;92;3;2828;2478;2394;336;5474;4284;4284;5544;560;24;240;86.67;260;8;2;0.07;2
310;Low;324;1060;17.83976221;17.58;19.1;19.10068056;17.41164583;47;1.5;2530;1782;1001;407;4345;3465;3465;2156;517;27;270;33.67;101;0;0;0;0
311;Low;325;1062;17.83976221;18.25;16.9;17.57760764;17.41164583;92;3;3864;4462;2553;667;11270;10074;10074;6854;1242;26;260;46.5;93;1;1;0.03;1
NA;Low;Ld325;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;1;1;0.03;1
312;Low;325_1;1062;17.83976221;17.83;17.41;19.10068056;17.41164583;61;2;1016;504;608;360;1713;1040;1040;992;368;20;200;32.5;65;0;0;0;0
313;Low;325_2;1062;17.83976221;17.83;19.1;19.10068056;17.41164583;47;1.5;650;670;460;70;940;1130;1130;1040;90;26;260;10.33;31;0;0;0;0
317;Low;329;1064;17.83976221;17.83;19.1;19.10068056;17.41164583;47;1.5;6026;6302;943;368;8556;9338;9338;2185;414;15;150;72.5;145;0;0;0;0
319;Low;331;NA;NA;NA;NA;NA;NA;46;1.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;90;40;40;1;1;0.03;1
321;Low;333;1069;19.70072002;19.1;23.08;17.41164583;21.37217708;NA;NA;553;462;35;7;1568;630;630;63;14;10;100;16;16;0;0;0;0
322;Low;334;1068;17.83976221;18.25;16.9;16.90139931;19.10068056;76;2.5;810;1080;270;36;1944;2016;2016;882;54;24;240;17;51;0;0;0;0
